"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z"
0.9182364,0.6642599,0.9178464
0.8991376,0.6635292,0.926208
0.8989857,0.666044,0.9307543
0.9155654,0.6706219,0.9241402
0.9263703,0.6719072,0.9067218
0.9177283,0.6614511,0.8992807
0.9002496,0.6629355,0.9076319
0.9029771,0.6607419,0.9114566
0.9147722,0.6633039,0.9006897
0.9082712,0.6618546,0.8942479
0.8935069,0.663254,0.9042251
0.8974167,0.6619477,0.9080061
0.9100665,0.6617237,0.8955348
0.900354,0.6628232,0.8920774
0.8872637,0.6606562,0.9034466
0.8658651,0.6621624,0.9199216
0.8422786,0.6607761,0.9301486
0.821751,0.6617333,0.9359598
0.8015584,0.6590314,0.9400914
0.7811068,0.6598175,0.9404962
0.7609698,0.6581709,0.9357955
0.7408112,0.6575159,0.9269674
0.72263,0.6546862,0.9120404
0.7090685,0.6545107,0.8933018
0.7019702,0.6565865,0.8721174
0.6995008,0.6574405,0.8511405
0.6778098,0.6512618,0.7878491
0.6221217,0.6458127,0.6586618
0.5651301,0.6390769,0.5212864
0.5125303,0.6349683,0.3806692
0.5125303,0.6349683,0.3806692
0.4620413,0.6270864,0.2395017
0.4126509,0.6245279,0.2085736
0.3951759,0.6257477,0.2224308
0.3497223,0.6227051,0.2055159
0.3497223,0.6227051,0.2055159
0.26587,0.6188461,0.1554372
0.2654718,0.6181856,0.1292228
0.2412974,0.616704,0.08643067
0.1737326,0.6126376,-0.0301255
0.1033008,0.6049048,-0.1620324
0.03456199,0.5974488,-0.2948846
-0.03262007,0.591336,-0.4314573
-0.09531391,0.586651,-0.5672045
-0.1564032,0.5801723,-0.7051769
-0.1564032,0.5801723,-0.7051769
-0.2137989,0.5750841,-0.8266273
-0.2582505,0.5746841,-0.828864
-0.2644484,0.5756675,-0.8129103
-0.2644484,0.5756675,-0.8129103
-0.2891969,0.5761983,-0.8324641
-0.2963029,0.5746953,-0.8474677
-0.3579463,0.5738533,-0.8887156
-0.4729122,0.5684918,-0.9662917
-0.5931771,0.5665622,-1.050951
-0.7162814,0.5561279,-1.14267
-0.8047981,0.5471871,-1.176767
-0.8206382,0.5492133,-1.148852
-0.8028839,0.5557156,-1.125051
-0.7830399,0.5538914,-1.122097
-0.7593868,0.5530461,-1.127269
-0.7361049,0.5537727,-1.138651
