"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z"
-0.03354275,0.6061233,0.07243931
-0.03354275,0.6061233,0.07243931
-0.03217745,0.6036273,0.05828834
-0.02508163,0.6033185,-0.06519496
0.00943923,0.6006819,-0.1320726
0.00943923,0.6006819,-0.1320726
0.008598804,0.6013827,-0.1446114
-0.005261779,0.5999616,-0.1396773
-0.01482642,0.5999345,-0.1371739
-0.02179492,0.5997084,-0.1357399
-0.02337468,0.6001565,-0.1235281
-0.02840066,0.6008799,-0.09938896
-0.03200042,0.606124,-0.04012036
-0.01793087,0.608341,0.1212943
-0.005940795,0.6172812,0.3012151
-0.0003045797,0.6198927,0.4737061
-0.0003045797,0.6198927,0.4737061
0.03401053,0.6224866,0.5716481
0.06981528,0.6247772,0.5625284
0.07379043,0.6243501,0.555634
0.1352115,0.6256987,0.5795436
0.2970859,0.6327964,0.6406138
0.4451087,0.6341113,0.7006658
0.6140836,0.644515,0.77034
0.6140836,0.644515,0.77034
0.6628834,0.6391391,0.7862856
0.6157049,0.6404318,0.7288564
0.5871103,0.6428939,0.7026597
0.5540894,0.6452764,0.6887685
0.519685,0.6464568,0.6871182
0.5366418,0.6422448,0.6298046
0.591133,0.6362187,0.4693265
0.6469958,0.6277961,0.3155439
0.7082127,0.6190426,0.1470722
0.7745675,0.6095895,-0.02824849
0.8422323,0.6202258,-0.1785353
0.9119791,0.6175367,-0.3391041
0.9119791,0.6175367,-0.3391041
0.9551378,0.617067,-0.4713032
0.9151665,0.6152997,-0.4987811
0.9082607,0.6136631,-0.5009612
0.919747,0.6120131,-0.5233055
0.9254435,0.6127081,-0.5345217
0.9254435,0.6127081,-0.5345217
0.9045218,0.6116506,-0.5613359
0.8956958,0.60973,-0.5705673
0.9137048,0.6095124,-0.5872578
0.9121004,0.608425,-0.5951584
0.8928643,0.6090688,-0.5903991
0.9001554,0.6083157,-0.5927535
0.8926064,0.6089251,-0.5952821
0.8744584,0.608214,-0.5808834
