"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
-0.08935642,0.6450013,0.6047909,353.4116,233.2565,359.7307
-0.08018231,0.6405786,0.5849296,353.9081,222.3246,358.0303
-0.05524254,0.6343458,0.5358889,359.7328,192.2226,359.0527
-0.06926692,0.6200854,0.3955762,3.332929,187.4912,356.1369
-0.07952225,0.6172769,0.223107,3.0727,184.8322,356.1543
-0.08177006,0.6082208,0.04460514,3.0797,182.5099,356.7988
-0.07514298,0.6043897,-0.1341118,3.045947,180.5251,356.6862
-0.07514298,0.6043897,-0.1341118,3.045947,180.5251,356.6862
-0.04003811,0.601918,-0.2716211,2.012327,159.4332,355.4232
-0.009600163,0.6026825,-0.2881954,0.5859995,136.0715,355.4908
-0.02987731,0.6003385,-0.3006362,2.229716,159.7054,355.7039
-0.06406033,0.598659,-0.2963558,3.466998,188.5228,356.664
-0.05577958,0.6005623,-0.2925383,3.634904,189.3467,356.5121
-0.03583372,0.6012691,-0.2983416,2.396462,168.5182,356.066
-0.009715557,0.6008575,-0.3030292,1.514721,145.4402,355.5478
-0.00390625,0.5997833,-0.3139274,1.946847,143.152,355.7599
-0.02827632,0.5997574,-0.3197982,2.6801,167.633,356.1469
-0.05951309,0.5988532,-0.3104411,3.118044,193.9511,356.9383
-0.04927802,0.5993587,-0.3076688,2.719539,189.18,356.7476
-0.02792478,0.6004726,-0.3148607,2.269245,168.4943,356.3906
-0.03880966,0.5986893,-0.3241711,3.237381,176.0972,356.5623
-0.025702,0.5993868,-0.3228801,2.322356,170.7729,356.9334
-0.03859127,0.6003636,-0.328939,3.039837,179.7059,356.8163
-0.02652133,0.5999388,-0.3287109,2.681349,173.7554,356.9991
-0.03929746,0.5989889,-0.3334986,3.172011,182.6499,356.9417
-0.02594483,0.5989845,-0.334448,2.823571,176.1333,356.425
-0.03975952,0.5991365,-0.3392925,3.092762,185.5289,356.7371
-0.02913439,0.5986551,-0.339644,2.638284,179.0899,356.1766
-0.04098094,0.5979397,-0.344812,2.918114,188.9105,357.1775
-0.05389547,0.5985482,-0.3372135,3.561358,204.9145,357.5547
-0.02836061,0.5996206,-0.3472359,2.577433,179.7828,356.7182
-0.01250756,0.5970498,-0.3612261,3.174291,165.0301,356.2262
-0.03658009,0.5983344,-0.3631972,2.720061,189.7811,356.9161
-0.06043422,0.5978177,-0.3491694,3.259227,211.9877,357.5232
-0.07169664,0.598837,-0.3292011,3.655629,232.5344,358.5587
-0.05299485,0.5978309,-0.3488436,2.989679,207.3071,357.5138
-0.03764808,0.5967741,-0.3655936,3.643391,185.0557,356.971
-0.0591228,0.598035,-0.3606076,2.939034,205.9328,357.6521
-0.07619631,0.597886,-0.3408644,3.583343,228.4048,358.3454
-0.08401883,0.598016,-0.307602,3.101861,255.0562,359.3298
-0.07537305,0.5985203,-0.2747952,2.690066,279.4712,0.1057561
-0.05266559,0.6004062,-0.2494338,1.96786,304.4441,0.751438
-0.02475893,0.6033598,-0.2384467,0.6089255,325.0655,0.724067
0.0007231236,0.6100681,-0.2214724,357.1447,340.605,0.1060443
-0.05585802,0.6058618,-0.08547145,359.8341,340.046,0.3840027
-0.05585802,0.6058618,-0.08547145,359.8341,340.046,0.3840027
-0.1315837,0.6096026,0.02595872,0.6359401,320.907,0.7323649
-0.1817538,0.6046685,0.0210526,2.652037,283.4562,0.1333312
-0.1817538,0.6046685,0.0210526,2.652037,283.4562,0.1333312
-0.1783781,0.606554,0.03487384,0.8594461,298.2559,0.537541
