"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z"
-0.01948094,0.6124902,0.05464041
-0.01948094,0.6124902,0.05464041
-0.01888192,0.6130511,0.05512476
-0.02482915,0.609332,-0.008256078
-0.003153205,0.6042817,-0.1060709
0.001506925,0.6047169,-0.1508469
-0.008708835,0.6036917,-0.1790422
-0.02436376,0.6022991,-0.1998125
-0.04230607,0.6016859,-0.2151651
-0.06376469,0.5998309,-0.2261592
-0.08512986,0.6005099,-0.2290413
-0.105926,0.5998796,-0.2291286
-0.1243702,0.5993211,-0.2244594
-0.1421952,0.5985667,-0.217061
-0.159477,0.5986333,-0.2060395
-0.1744937,0.5999928,-0.1895459
-0.1810988,0.5960305,-0.2673258
-0.1869276,0.5915457,-0.4062219
-0.1896268,0.5893312,-0.5556213
-0.1875395,0.5822155,-0.7061269
-0.182668,0.57689,-0.8561171
-0.182668,0.57689,-0.8561171
-0.1738178,0.5739741,-1.006079
-0.1417521,0.5704428,-1.103447
-0.09798241,0.571381,-1.110789
-0.06937373,0.5728048,-1.101101
0.004697561,0.5754659,-1.093434
0.09084225,0.574064,-1.115195
0.0869385,0.5727262,-1.143416
0.06313145,0.5738292,-1.148172
0.03744531,0.5726876,-1.14173
0.02130401,0.5731061,-1.124172
0.03700316,0.5726339,-1.12754
0.05716956,0.5740144,-1.136144
0.07591021,0.573718,-1.141791
0.0629226,0.5728513,-1.149614
0.07865667,0.5737944,-1.146956
0.09222877,0.573483,-1.150366
0.1110874,0.5731162,-1.156088
0.1353666,0.5734632,-1.15753
0.1590598,0.5745015,-1.151184
0.1787566,0.5741351,-1.138828
0.1942869,0.5752939,-1.121632
0.2040958,0.5760554,-1.100377
0.2088383,0.5767779,-1.076791
0.2065781,0.5768491,-1.055177
0.1990288,0.5777605,-1.034474
0.187075,0.5783452,-1.016113
0.1745821,0.5814275,-0.9339405
0.1516839,0.5853766,-0.7880558
0.1258606,0.5886639,-0.643024
0.09576797,0.5938641,-0.4963257
0.06121242,0.5986267,-0.3548136
0.02354062,0.6014366,-0.209196
-0.01609826,0.6051066,-0.06518245
-0.064803,0.6092297,0.0844748
-0.064803,0.6092297,0.0844748
-0.1128432,0.6100689,0.222033
-0.08806944,0.6140511,0.2715219
-0.06767666,0.6144918,0.2683903
-0.06767666,0.6144918,0.2683903
-0.08333099,0.6151879,0.2819601
-0.08310485,0.614702,0.2844094
-0.07160747,0.616034,0.3312875
-0.03603697,0.6227473,0.45877
-0.001766086,0.6269863,0.6003791
0.03042316,0.6323541,0.7465179
0.06026208,0.6379048,0.8920983
0.08600986,0.642522,1.039909
0.08600986,0.642522,1.039909
0.07024705,0.6449611,1.135908
0.02944243,0.6447755,1.150352
0.02864587,0.6457896,1.16332
0.04720175,0.6463453,1.170036
0.03511202,0.6461366,1.162661
0.04851198,0.6456437,1.169735
0.03516638,0.646202,1.163856
0.01659369,0.6452935,1.159945
0.02306795,0.645794,1.172285
0.04176402,0.6453688,1.17663
0.02804291,0.6469622,1.16816
0.03299189,0.6461737,1.174727
0.0260694,0.6480327,1.167797
0.03093064,0.6469908,1.175953
