"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z","robot_sim.direction.x","robot_sim.direction.y","robot_sim.direction.z"
-3.757507,0.5749997,0.1108158,-0.0001790467,94.92091,0.0000912928
-3.7575,0.5749997,0.1109172,-0.0001818444,92.5844,0.00009564873
-3.757502,0.574999,0.1109405,-0.001053212,92.05787,0.0004719032
-3.757506,0.5750003,0.1109183,0.0002906126,92.55614,-0.00005775191
-3.757534,0.5750005,0.1107463,0.0003412274,96.28335,-0.00007910559
-3.757515,0.575,0.1107529,-0.00005193814,95.82223,0.0001142141
-3.757466,0.5749997,0.1108484,-0.0001848175,93.02433,0.0001022036
-3.757481,0.5749997,0.1108483,-0.0001847081,93.21532,0.00009193813
-3.757488,0.5750005,0.1108361,0.0003484391,93.56419,-0.0000766258
-3.757502,0.5750005,0.1107088,0.0003382233,96.40012,-0.00008036632
-3.757494,0.5749998,0.1108068,-0.0001639907,94.56458,0.0001002168
-3.757496,0.5749997,0.1108914,-0.0001896872,92.84718,0.00009674043
-3.757498,0.574999,0.1109148,-0.001028445,92.31657,0.0004594417
-3.757514,0.5750002,0.1109181,0.00005834897,92.42871,0.00003905264
-3.757519,0.5750005,0.1108783,0.000334306,93.32579,-0.00007583107
-3.757527,0.5750005,0.1108029,0.0003456838,95.02338,-0.00007559322
-3.757531,0.5750005,0.1107967,0.0003511212,95.17028,-0.00007966792
-3.75754,0.5750005,0.1107278,0.0003515923,96.60532,-0.00008168079
-3.75749,0.5750005,0.1106754,0.0003432693,97.11497,-0.00008761211
-3.757488,0.5750037,0.1106843,0.003491015,96.81023,-0.001841267
-3.757473,0.5749999,0.1107058,-0.0001134765,96.08231,0.00005847026
-3.757467,0.5749997,0.1107711,-0.0001774688,94.5556,0.00009655896
-3.757464,0.5749997,0.1108282,-0.0001856685,93.21506,0.0001059911
-3.757506,0.5750003,0.1107985,0.000193468,93.77478,-0.00007637767
-3.757521,0.5750005,0.1106868,0.0003453367,96.33591,-0.00007879921
-3.757496,0.5749998,0.1107433,-0.0001585586,95.04615,0.0001038636
-3.757484,0.5749968,0.1108388,-0.003579533,92.93337,-0.00005651081
-3.757463,0.5750005,0.110714,0.0003450482,95.38742,-0.00007759543
-3.757467,0.5750005,0.1106414,0.0003374013,96.91019,-0.00008316471
-3.757464,0.575,0.110651,0.0001320558,96.60251,-0.00007341431
-3.757451,0.575,0.1106719,-0.00003209561,95.88126,0.0000217003
-3.757428,0.5749997,0.1107614,-0.0001871586,93.14262,0.0001050843
-3.757437,0.5750004,0.1106792,0.0003158348,94.27787,-0.00007550076
-3.757438,0.5750037,0.1105597,0.003066038,96.23679,0.0003451694
-3.757416,0.5749997,0.1106209,-0.0001757906,94.13447,0.0001013737
-3.757412,0.5749997,0.1106379,-0.0004381544,93.0332,-0.00007233225
-3.757426,0.5750005,0.1104847,0.0003440802,95.77158,-0.00008209149
-3.75741,0.5749999,0.1104729,-0.00004860649,95.31149,0.00009757781
-3.757383,0.5750025,0.1105542,0.00102032,92.62352,-0.00008948391
-3.757376,0.5750005,0.110442,0.0003397409,94.4386,-0.00007730717
-3.757369,0.5750004,0.1103683,0.0004711998,95.38642,0.00006156306
-3.757345,0.5749997,0.1104651,-0.0001856888,92.49095,0.00009393789
-3.757348,0.5750003,0.1104194,0.0001986595,92.80856,-0.00006537003
-3.757328,0.5749968,0.1102745,-0.00339417,95.37711,0.001718255
-3.757326,0.5749997,0.1104405,-0.0001913772,92.32074,0.0001024737
-3.757335,0.5750005,0.1104117,0.0003181656,93.45716,-0.00008061832
-3.757351,0.5750005,0.1102841,0.0003460526,96.81284,-0.00008520007
-3.757348,0.575,0.1102939,0.0001330187,96.50598,-0.00007293817
-3.757352,0.5749997,0.1103346,-0.0001810331,95.68266,0.00008904968
-3.75734,0.5749997,0.1104292,-0.0001794775,93.43313,0.00009639196
-3.757337,0.5749997,0.110504,-0.0001806618,91.69671,0.0001007213
-3.754307,0.5750429,0.1103073,-0.003589893,92.45839,-0.0009050918
-3.752647,0.5750126,0.1103222,0.004783552,92.61827,-0.0005211575
-3.750833,0.5750402,0.1103545,0.01100941,92.80176,-0.002531796
-3.749351,0.5750214,0.1103771,0.007151368,92.97187,-0.0001872947
-3.74804,0.5750142,0.1103937,0.005574627,93.15051,-0.0004482556
-3.747076,0.5750126,0.110401,0.004812632,93.29675,-0.0005241232
-3.746058,0.575038,0.1104073,0.01069409,93.46004,-0.003042702
-3.744451,0.5750213,0.1104427,0.007250616,93.61112,-0.0002028871
-3.743429,0.5750139,0.1104521,0.005551627,93.77705,-0.0004567353
-3.742416,0.5750126,0.1104606,0.004872505,93.9408,-0.0005122454
-3.741169,0.57504,0.1104809,0.01130669,94.10431,-0.00271241
-3.739662,0.5750402,0.1105105,0.01139332,94.28002,-0.002695462
-3.73816,0.5750139,0.1105409,0.005612962,94.45605,-0.0004473374
-3.737142,0.57504,0.1105508,0.01136669,94.62009,-0.002763971
-3.735656,0.57504,0.110583,0.01138727,94.79771,-0.002778598
-3.733978,0.5750138,0.1106257,0.005631207,94.97223,-0.0004483458
-3.732503,0.575021,0.1106583,0.007445055,95.14846,-0.0002342816
-3.730786,0.5750209,0.1107039,0.007465726,95.32652,-0.0002307578
-3.72959,0.5750209,0.110728,0.00748754,95.49067,-0.00022942
-3.727993,0.5750279,0.1107615,0.01036322,95.66526,0.00009769537
-3.726769,0.5750216,0.1107878,0.007850938,95.82944,-0.0001868876
-3.72498,0.57504,0.1108376,0.01159646,96.02813,-0.002853635
-3.723518,0.5750207,0.1108756,0.007552253,96.20713,-0.0002477465
-3.722219,0.5750135,0.110904,0.005617118,96.39071,-0.000435307
-3.720732,0.5750135,0.1109438,0.00562341,96.57229,-0.0004365529
-3.718962,0.57504,0.1109959,0.01166285,96.77092,-0.002916167
-3.717301,0.57504,0.1110504,0.01167301,96.95484,-0.002928257
-3.715914,0.5750025,0.1110944,0.001076611,97.12127,-0.0001483441
-3.714424,0.5750118,0.111137,0.004828663,97.30603,-0.000493415
-3.71298,0.575021,0.1111781,0.007995512,97.48616,-0.0002015173
-3.711525,0.5750209,0.1112228,0.008004121,97.67127,-0.0002057057
-3.710293,0.5750397,0.1112559,0.01169364,97.84328,-0.003009947
-3.708648,0.5750208,0.1113151,0.008033781,98.02778,-0.0001992644
-3.707171,0.5750398,0.1113618,0.01178482,98.21548,-0.002995983
-3.705825,0.5750117,0.1114078,0.004905456,98.38234,-0.0004299492
-3.70439,0.5750206,0.1114544,0.008046784,98.56689,-0.0002050145
-3.702944,0.5750129,0.1115053,0.005561065,98.7569,-0.0003962883
-3.701318,0.5750205,0.1115693,0.008063125,98.94707,-0.0002029759
-3.699822,0.5750137,0.1116195,0.00605101,99.11884,-0.0003281667
-3.698245,0.5750116,0.1116671,0.004813895,99.3012,-0.0004499154
-3.697082,0.5750117,0.1117036,0.005015537,99.47106,-0.0003926608
-3.695926,0.5750194,0.1117377,0.007733705,99.63744,-0.0002612439
-3.694928,0.5750394,0.1117573,0.01183985,99.80333,-0.003084916
-3.693515,0.5750394,0.1118102,0.01185397,99.99273,-0.003092013
-3.691916,0.5750377,0.1118776,0.01138913,100.1856,-0.003361577
-3.690614,0.5750045,0.111934,0.001937775,100.3577,-0.00008438477
-3.689202,0.5750113,0.1119883,0.004755548,100.5493,-0.000419376
-3.687744,0.5750373,0.1120397,0.01127202,100.7396,-0.003378418
-3.686411,0.5750376,0.1120959,0.01145568,100.9168,-0.003349923
-3.685281,0.5750391,0.1121346,0.01191339,101.0864,-0.003105739
-3.684144,0.5750121,0.1121753,0.005375072,101.2551,-0.0003405358
-3.683021,0.575011,0.1122135,0.004706094,101.4252,-0.0003913397
-3.681907,0.5750185,0.1122492,0.007791755,101.5928,-0.0001997722
-3.680604,0.5750109,0.1123052,0.00469706,101.7693,-0.0003850812
-3.679392,0.5750371,0.1123397,0.01133814,101.9532,-0.003347087
-3.678059,0.5750182,0.112397,0.007829807,102.1465,-0.0001638211
-3.676707,0.5750188,0.112453,0.00799161,102.341,-0.0001847169
