"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
-0.03887463,0.6107795,0.02167439,-0.00008784358,0.01000977,0.005013568
-0.03887463,0.6107795,0.02167439,-0.00008784358,0.01000977,0.005013568
-0.03883398,0.6105132,0.02171671,359.9921,0.008676242,0.004948603
-0.048823,0.6109262,0.02593225,0.2046902,351.8554,0.1595876
-0.05685806,0.6101035,0.03367674,0.7597666,345.486,0.5240589
-0.0632242,0.6095356,0.03946662,1.158564,340.4078,0.3544286
-0.06918097,0.6074545,0.04526621,1.027601,334.3987,0.6224906
-0.08161426,0.6105515,0.04878908,1.38577,327.127,0.6579269
-0.0917865,0.6105955,0.05307615,1.836934,320.4156,0.3860847
-0.1033214,0.6094865,0.0561235,2.415263,312.5662,0.09095266
-0.1481947,0.6110977,0.101299,1.19446,314.355,359.7095
-0.235497,0.6101093,0.1874775,2.085903,312.7052,359.7943
-0.235497,0.6101093,0.1874775,2.085903,312.7052,359.7943
-0.2648958,0.6097281,0.2541224,1.936159,336.383,359.8594
-0.2643936,0.6104902,0.2583464,0.8801089,341.4761,0.02388464
-0.2815707,0.612807,0.2944688,1.356145,340.085,0.8002331
-0.3214529,0.6190737,0.4018468,0.8009885,339.202,0.09033811
-0.3670422,0.6155826,0.5303007,1.398604,337.6742,359.943
-0.3670422,0.6155826,0.5303007,1.398604,337.6742,359.943
-0.3852839,0.6164349,0.6191694,0.6696634,353.146,359.6589
-0.3644551,0.6167033,0.6380217,0.6701038,14.96686,359.4929
-0.3619775,0.6172137,0.6383879,0.4513119,16.59356,359.3317
-0.3462653,0.6203101,0.6950915,0.06153426,15.24747,359.1171
-0.315183,0.6226038,0.8106318,0.2004076,14.2334,359.4776
-0.315183,0.6226038,0.8106318,0.2004076,14.2334,359.4776
-0.2812689,0.6248388,0.930801,2.384891,15.26353,358.3727
-0.2457963,0.627118,0.943386,0.6366078,45.88247,358.3185
-0.2390438,0.6276646,0.9356134,0.8252652,58.80485,357.8757
-0.2390438,0.6276646,0.9356134,0.8252652,58.80485,357.8757
-0.221092,0.6271554,0.9547503,2.138647,50.70803,357.8779
-0.2253498,0.6291314,0.9713551,0.237238,36.50167,358.4
-0.1984491,0.6302687,1.009302,0.3641157,36.21171,358.2712
-0.1984491,0.6302687,1.009302,0.3641157,36.21171,358.2712
-0.141508,0.6347504,1.056238,0.1885056,50.26615,357.714
-0.1292975,0.6339979,1.068932,0.6970344,53.43441,357.6347
-0.12545,0.6352088,1.084484,0.5293741,44.33002,357.8317
-0.1172161,0.6344845,1.080246,0.5574518,52.90019,357.6636
-0.123706,0.63455,1.086605,0.4909011,47.05192,357.5992
-0.1241719,0.6355717,1.098712,0.4668217,39.40968,358.0685
-0.1158826,0.6354545,1.092468,0.427738,49.02183,357.8301
-0.1226033,0.6357253,1.097611,0.39667,43.64724,357.8343
-0.115029,0.6351491,1.089787,0.7419489,53.38747,357.736
-0.1224629,0.6358609,1.097774,0.4762339,47.08414,357.678
-0.1148039,0.6363167,1.091451,0.5545704,55.65899,357.6066
-0.1207536,0.6364778,1.098503,0.6305836,49.62394,357.5781
-0.1200714,0.6365886,1.108897,0.4916647,42.88321,357.8784
-0.1142696,0.6373308,1.109667,359.8823,45.43015,357.6626
-0.110068,0.6370983,1.097966,0.8604358,57.37651,357.4836
-0.1182317,0.6362455,1.100317,0.7153242,55.54376,357.6897
-0.1186916,0.6377223,1.108311,0.2038937,46.50119,357.6857
-0.1132945,0.6364433,1.112072,1.191908,45.95868,358.0288
-0.1083771,0.6372576,1.102114,0.7361724,57.85775,357.5905
-0.1150419,0.6386598,1.100221,0.04859905,58.07783,357.8363
