"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
-0.02217853,0.6077684,0.07310236,359.9839,-0.002058272,0.05662636
-0.02100122,0.6090776,0.07390404,0.05929077,359.9934,-0.002806492
-0.033553,0.6119839,0.17883,0.06118715,358.5446,359.4995
-0.05306745,0.6142703,0.341904,0.3736897,357.3145,359.6342
-0.05306745,0.6142703,0.341904,0.3736897,357.3145,359.6342
-0.03451252,0.6180227,0.4642272,359.9409,26.3594,359.0345
-0.01820636,0.617826,0.4707825,358.9955,41.63464,358.0979
0.02509975,0.6231282,0.5328161,359.012,40.25746,357.3906
0.02509975,0.6231282,0.5328161,359.012,40.25746,357.3906
0.04455423,0.6249003,0.6295186,359.184,4.978594,359.1288
0.05179095,0.6260779,0.6456118,1.22101,5.327374,359.6207
0.06936407,0.6251334,0.6384456,359.9418,19.29227,358.9664
0.09144223,0.6365288,0.6331135,359.7594,37.15532,358.5356
0.1024127,0.6343235,0.6054226,359.6842,63.77596,357.0624
0.1009818,0.6334481,0.5933409,359.9804,75.05335,356.2981
0.1705199,0.6317364,0.6212901,359.8773,73.51321,357.4904
0.3182951,0.6437196,0.6808879,359.0171,71.82838,356.7668
0.4843231,0.6490953,0.7525065,358.7516,70.20918,356.7684
0.4843231,0.6490953,0.7525065,358.7516,70.20918,356.7684
0.5845978,0.6527075,0.7555521,1.700327,101.8807,355.8171
0.5776919,0.6504984,0.7202401,2.239376,143.82,356.0981
0.569343,0.6483963,0.7168914,3.24119,154.378,356.0116
0.6094559,0.6483508,0.6533136,2.046842,152.313,355.8244
0.6958222,0.650152,0.520381,1.785568,150.9828,355.5619
0.8097299,0.647276,0.3548205,1.379189,149.0574,355.583
0.8097299,0.647276,0.3548205,1.379189,149.0574,355.583
0.894884,0.6473242,0.2245603,4.172114,151.7793,355.693
0.8684429,0.644347,0.1732515,5.350294,201.7327,357.4685
0.844925,0.6453857,0.178757,5.138415,226.1533,358.3273
0.844925,0.6453857,0.178757,5.138415,226.1533,358.3273
0.8312865,0.6423695,0.1332383,5.345952,211.175,357.5777
0.8516599,0.6397158,0.0966568,4.863122,181.038,356.0739
0.8690482,0.6415944,0.08646643,3.857845,162.5048,354.959
0.8990737,0.64073,0.01383615,2.180402,162.0248,356.2202
0.9613708,0.6378932,-0.1317025,3.367828,160.5093,355.1555
0.9613708,0.6378932,-0.1317025,3.367828,160.5093,355.1555
0.9794823,0.6332325,-0.2441183,4.922678,184.6903,356.5374
0.9574591,0.6326203,-0.2633104,5.349597,207.6367,357.8761
0.9303604,0.6239641,-0.3266559,4.100129,207.3045,357.2198
