"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z","robot_sim.direction.x","robot_sim.direction.y","robot_sim.direction.z"
-3.512758,0.5750309,0.5147563,359.9855,30.70323,0.01664896
-3.440088,0.5750307,0.6347075,359.9857,32.52541,0.01628694
-3.389251,0.5750309,0.712613,359.9856,34.86639,0.01656477
-3.38279,0.5750518,0.7389947,0.001964963,34.93832,0.0004643545
-3.382479,0.5750596,0.7590475,0.01529996,39.74459,0.006869932
-3.382111,0.5750102,0.7629638,0.00499645,40.5943,0.003038089
-3.38197,0.5750063,0.7632168,0.003559615,40.61658,0.00246629
-3.381842,0.5750065,0.7634471,0.003554992,40.63678,0.002561672
-3.3817,0.5750121,0.7637039,0.005635285,40.65911,0.00319029
-3.381525,0.5750286,0.7640441,0.01339535,40.6877,0.01093689
-3.381318,0.5750088,0.7644072,0.004601039,40.72167,0.00297735
-3.381179,0.5750065,0.7646606,0.003550003,40.7443,0.002552806
-3.38104,0.5750065,0.7649151,0.003548962,40.7671,0.002559234
-3.380886,0.5750114,0.7651966,0.005393867,40.79206,0.003149288
-3.380698,0.5750391,0.7655669,0.01825473,40.82311,0.01280058
-3.380518,0.5750445,0.7658949,0.02014842,40.85265,0.01336537
-3.380268,0.5750464,0.7663451,0.02068378,40.89463,0.01344012
-3.380019,0.5750396,0.7667921,0.01835324,40.93666,0.01282409
-3.378919,0.5750458,0.7685951,0.02047058,40.97246,0.01341521
-3.378669,0.5750464,0.7690431,0.0206456,41.01495,0.01341817
-3.378416,0.5750464,0.7694907,0.0206357,41.05777,0.01340636
-3.378164,0.5750464,0.7699378,0.0206247,41.10069,0.01339583
-3.37791,0.5750464,0.7703846,0.02059748,41.144,0.01338976
-3.377657,0.5750464,0.7708308,0.02059478,41.18765,0.0133806
-3.377403,0.5750464,0.7712765,0.0205685,41.23137,0.01337337
-3.377166,0.5750101,0.7716739,0.004939599,41.27306,0.003022041
-3.376419,0.5750483,0.7748511,0.02116496,41.17395,0.01348649
-3.375705,0.5750295,0.778055,0.01358383,41.0639,0.01100042
-3.374756,0.5750297,0.7825676,0.01373525,40.91995,0.01100758
-3.374207,0.5750463,0.7834738,0.02064184,40.96264,0.01342057
-3.373958,0.5750464,0.7839221,0.02065303,41.00517,0.0134185
-3.373477,0.5750327,0.7846944,0.01050029,41.04354,0.009830607
-3.373219,0.5750464,0.7851553,0.02061907,41.08651,0.0133951
-3.372967,0.5750464,0.7856023,0.02061009,41.12971,0.0133936
-3.372714,0.5750464,0.7860485,0.02059076,41.17324,0.01338773
-3.37246,0.5750464,0.7864945,0.02058509,41.21693,0.01338268
-3.372221,0.5750502,0.786916,0.02153327,41.25824,0.01346452
-3.371968,0.5750464,0.7873592,0.02055717,41.30236,0.01335893
-3.371715,0.5750464,0.7878034,0.02054209,41.34683,0.01334732
-3.371462,0.5750464,0.7882473,0.02052797,41.3915,0.01334012
-3.371222,0.5750101,0.788643,0.004922009,41.43407,0.003014321
-3.370474,0.5750105,0.7916332,0.005074478,41.34551,0.003046864
-3.369147,0.575045,0.7951708,0.02014435,41.35855,0.01328983
-3.368892,0.5750464,0.7956152,0.02051784,41.40334,0.01333745
-3.368634,0.5750464,0.7960581,0.02050794,41.44844,0.01333008
-3.368376,0.5750464,0.796501,0.02050209,41.49369,0.01331923
-3.36812,0.5750464,0.7969429,0.02047793,41.53918,0.01331665
