"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z","robot_sim.direction.x","robot_sim.direction.y","robot_sim.direction.z"
-3.756469,0.5749968,0.09959085,-0.002655307,83.80356,0.0001771274
-3.756488,0.5750004,0.09954108,0.0003180773,85.52045,-0.00007674684
-3.756488,0.5750035,0.09948677,0.001292472,87.31512,-0.0000325904
-3.756497,0.5749997,0.09960729,-0.0001868774,85.17021,0.0000999531
-3.756504,0.5749997,0.09968218,-0.0002516948,84.05119,-0.00002591371
-3.756499,0.5749997,0.09960847,-0.0002982831,86.28652,0.0000975932
-3.75649,0.5750005,0.0996077,0.0003540333,86.87515,-0.00008386506
-3.756499,0.5749997,0.09975827,-0.0001935012,83.06151,0.0001060445
-3.756503,0.574998,0.0997049,-0.002733461,84.11424,0.001005457
-3.756526,0.5750005,0.09974862,0.0003839624,83.55838,-0.00009938166
-3.756496,0.5750005,0.0995654,0.0003499254,87.30441,-0.00008269846
-3.756467,0.5749998,0.09961666,-0.0001696088,85.42582,0.00009026546
-3.756458,0.5749992,0.09954561,-0.0007454322,86.41725,0.0001141787
-3.756452,0.5750005,0.09950905,0.0003509895,86.63066,-0.00008189358
-3.756456,0.5750006,0.09954146,0.0004250918,85.28935,-0.00008757404
-3.75646,0.5750033,0.09953933,0.002177454,84.72571,-0.0001733808
-3.756459,0.5749997,0.09947667,-0.0002121656,85.52866,0.00009603842
-3.756453,0.5749992,0.09940544,-0.0007492687,86.52428,0.0001149546
-3.756447,0.5750005,0.09936889,0.0003487119,86.7375,-0.00007938546
-3.756469,0.5749963,0.09947751,-0.001162595,83.67496,-0.000228518
-3.756442,0.5750005,0.09929266,0.0003445649,87.16666,-0.00008370606
-3.756431,0.5749999,0.09929314,-0.0001282305,86.60326,0.00009296387
-3.756443,0.5749997,0.09938885,-0.0002005326,83.8896,0.0001053937
-3.75644,0.5750004,0.09931823,0.0003274071,84.93123,-0.00007873643
-3.756435,0.5750034,0.09921431,0.001269581,86.72076,-0.00001618423
-3.756431,0.5749997,0.09918646,-0.0001674284,86.79157,0.00009490344
-3.756436,0.5749997,0.09926219,-0.0001909316,84.99006,0.000102395
-3.756444,0.5749997,0.09932851,-0.0001908378,83.40001,0.0001072662
-3.756435,0.5750003,0.09931805,0.0002474908,83.43011,-0.00006095606
-3.756414,0.5750005,0.09920197,0.0003480281,85.7378,-0.00008487963
-3.756403,0.5749997,0.09920554,-0.0001915703,85.28201,0.0000982229
-3.756386,0.5750005,0.0991344,0.000344529,86.51125,-0.00008210294
-3.756386,0.5750011,0.09925096,0.0007030602,84.07213,-0.00009402017
-3.756368,0.5750005,0.09910836,0.0003458277,86.68108,-0.00007483172
-3.756371,0.5749999,0.09910724,-0.0001278673,86.09889,0.00009435955
-3.756383,0.5749997,0.09920049,-0.0001884791,83.38454,0.0001073077
-3.756379,0.5750002,0.09917488,-0.00003134042,83.54372,0.00005206851
-3.756378,0.5750005,0.0991326,0.0003338059,84.47693,-0.00007790224
-3.756375,0.5750005,0.0990558,0.000342461,86.18858,-0.00007923636
-3.756363,0.5750003,0.09898352,0.0003322508,87.63722,-0.0001743788
-3.756371,0.5749999,0.09901277,-0.0001093145,87.01695,0.00005919903
-3.756375,0.5749997,0.09907098,-0.0001901197,85.60946,0.00009455021
-3.756384,0.5749997,0.09916355,-0.0001906579,83.42364,0.00009561247
-3.756373,0.575,0.09913422,-0.00002270375,83.86819,-0.00004786784
-3.756367,0.5750005,0.09905327,0.0003457339,85.69247,-0.00007685198
-3.756366,0.5750005,0.09901775,0.0001022483,86.49025,0.00008452171
-3.756378,0.5749997,0.09914719,-0.0001825048,83.56533,0.0001013362
-3.756374,0.5749989,0.09914992,-0.001549246,83.3348,0.0005491293
-3.756375,0.5750003,0.09912488,0.0002749345,83.8783,-0.00005713488
-3.756371,0.5750005,0.09902308,0.0003442211,86.17286,-0.00008164546
-3.75637,0.5750005,0.09895538,0.0003542817,87.67561,-0.0000864404
-3.756368,0.5750001,0.09895992,0.0002163439,87.44095,-0.00007891823
-3.756388,0.5750005,0.09908421,0.0005153017,84.77743,-0.0001666537
-3.756395,0.5750033,0.09898873,0.002325563,86.65222,-0.000216121
-3.756391,0.5749997,0.09910358,-0.000191582,83.76656,0.00009927072
-3.756376,0.5750003,0.09907173,0.000246468,84.20798,-0.0000733698
-3.756352,0.5749992,0.09895726,-0.0007414466,86.3391,0.0001141092
-3.756369,0.5749997,0.09904794,-0.0001931411,83.7111,0.00009899823
-3.756353,0.5750002,0.09900088,0.0002580182,84.19251,-0.00008086544
-3.756331,0.5750005,0.09886171,0.0003487369,86.75106,-0.00008145845
-3.756322,0.5749998,0.098891,-0.0001713234,85.51048,0.00009915404
