"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
-0.1495365,0.6065192,0.0187521,1.799503,119.2794,356.4961
-0.1758994,0.6056092,0.002335966,2.4814,142.3006,356.4126
-0.205184,0.6039237,-0.00003671646,2.97623,165.5488,357.0642
-0.1964493,0.6052072,0.007319033,2.840876,157.2969,356.7686
-0.1715832,0.6061873,0.01617342,1.696253,132.5359,356.2856
-0.1488106,0.6077101,0.03370142,0.4687806,105.5823,356.6277
-0.1347295,0.6073196,0.05750012,0.1667224,78.593,356.9724
-0.1349838,0.6075094,0.08610106,359.8955,49.34934,357.7091
-0.1349838,0.6075094,0.08610106,359.8955,49.34934,357.7091
-0.1523854,0.6083655,0.1126881,359.6755,18.75905,359.0712
-0.1709862,0.608722,0.1324568,0.2516414,356.0641,359.7001
-0.1732452,0.6086829,0.1468774,0.4358877,354.4669,359.9056
-0.1480522,0.6094813,0.1459019,0.4988322,15.09406,359.7155
-0.1276382,0.6077676,0.1313502,0.3676143,30.12638,358.9329
-0.1355267,0.6071913,0.1307796,0.358054,26.29523,359.0922
-0.1326247,0.6086224,0.1316364,0.5398128,24.54713,359.2347
-0.1170945,0.6086189,0.1158544,0.4035438,40.38775,358.4842
-0.1083484,0.6086618,0.08845806,0.0404335,60.81392,357.9295
-0.1087655,0.6079499,0.06175864,0.3900101,81.5163,357.4508
-0.1218522,0.607452,0.03719169,1.149387,108.3331,357.0786
-0.1218522,0.607452,0.03719169,1.149387,108.3331,357.0786
-0.1469344,0.6062865,0.01828706,2.247035,134.7612,356.453
-0.1437616,0.606582,0.02964264,1.825523,128.843,356.4576
-0.1257151,0.6071812,0.04675233,1.052703,105.8916,356.6274
-0.1088222,0.6077968,0.06580639,0.5475607,82.1643,356.9283
-0.1025059,0.6084901,0.09210408,359.7746,55.22197,357.7036
-0.05880868,0.6093291,0.1627268,359.2786,42.5562,358.088
0.05077875,0.6184636,0.28309,359.4987,42.14764,358.0544
0.1655457,0.6230878,0.4114908,0.1827123,41.41842,358.1629
0.2637656,0.6314912,0.5444404,358.6622,34.83907,356.8791
0.2637656,0.6314912,0.5444404,358.6622,34.83907,356.8791
0.2892646,0.6338696,0.6467472,0.0420545,4.048832,358.9565
0.2925956,0.6338195,0.6697363,0.5770988,1.377405,359.6991
0.2732136,0.6328926,0.6697748,359.7778,346.3243,359.7278
0.266754,0.6337078,0.6731385,0.5334076,341.2869,0.1814252
0.2373353,0.6356058,0.7454944,0.2585576,339.9241,0.2728894
0.1794188,0.6346471,0.8970331,0.8374326,339.0557,0.9090225
0.1794188,0.6346471,0.8970331,0.8374326,339.0557,0.9090225
0.1113561,0.6383989,1.030467,2.159546,326.2595,1.178165
0.05001283,0.6380732,1.022371,3.094307,277.9713,0.974359
0.02927172,0.6383072,1.006385,2.962452,262.1754,0.1186113
0.02955937,0.6376147,1.032615,3.000232,286.557,0.8227997
0.05026925,0.6401505,1.05178,1.525291,313.7735,0.9387199
0.08002901,0.6400506,1.059171,0.5556797,341.3684,0.6009088
0.08468282,0.6394408,1.051762,0.2914359,347.3159,0.7895933
0.06138396,0.638483,1.047255,1.148383,324.8441,0.561175
0.05547559,0.6389818,1.051645,1.550788,320.1272,0.7120708
0.0779413,0.639433,1.058719,0.8750925,345.9214,0.5861566
0.1086013,0.6393539,1.048508,0.4467663,12.91149,359.6416
0.133131,0.6410723,1.025276,359.6264,33.0097,359.1115
0.1497924,0.6411698,0.9986531,359.7882,51.73203,357.6601
0.1509019,0.6386645,0.9650735,359.9041,76.54958,356.9587
0.1414706,0.637376,0.9742663,359.9615,69.56524,356.9762
0.1448451,0.6395857,0.9624451,359.8529,77.71635,356.9008
0.1393949,0.6397532,0.975363,359.1201,66.29095,357.1413
