"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z","robot_sim.direction.x","robot_sim.direction.y","robot_sim.direction.z"
-3.13598,0.5750457,-0.1454025,0.02064324,311.3162,0.01471788
-3.136468,0.5750458,-0.1452057,0.02065638,311.3524,0.01472464
-3.136121,0.5750004,-0.1445582,0.0003273649,330.7747,-0.00008661777
-3.134039,0.5750004,-0.1444168,0.0003097205,26.73928,-0.00007845171
-3.132237,0.5750005,-0.147165,0.0003411614,100.6319,-0.00008546423
-3.05908,0.5750149,-0.1717881,-0.002540612,125.6286,0.006249321
-3.002213,0.5750497,-0.1835883,-0.001390298,117.4165,-0.002164406
-2.941475,0.5750306,-0.205092,359.9858,117.5397,0.01596834
-2.833684,0.5750314,-0.2626091,359.9852,117.5823,0.0176117
-2.688719,0.5750315,-0.3420523,359.9852,117.6187,0.01781065
-2.525332,0.5750315,-0.4322382,359.9852,117.6525,0.01783905
-2.371132,0.5750324,-0.5156567,359.9846,112.8749,0.01975326
-2.26704,0.5750322,-0.5626887,359.9847,107.8879,0.0194096
-2.174794,0.5750322,-0.5932993,359.9847,102.2394,0.01928498
-2.086877,0.5750359,-0.61395,359.9865,94.02369,0.01157594
-2.002697,0.5750355,-0.623718,0.01737114,89.2546,0.005682467
-1.952465,0.5750006,-0.6235597,-0.001534152,80.94725,0.0007871922
-1.926214,0.5750005,-0.6174903,0.0003649797,76.08233,-0.00008043089
-1.926275,0.574999,-0.6173975,-0.00197468,74.02285,0.000255823
-1.926252,0.5750005,-0.6174453,0.0003610383,75.00735,-0.00007700227
-1.926243,0.5750005,-0.6174933,0.0003327348,75.98559,-0.00007777246
-1.92625,0.5749997,-0.6174955,-0.0002378676,76.08874,0.00008637897
-1.926282,0.5750035,-0.6174262,0.0009433592,74.51083,0.0002152173
-1.926294,0.5750005,-0.6173673,0.0004080334,72.947,-0.00008563034
-1.926227,0.5750005,-0.6175418,0.0003433111,76.68739,-0.00008223097
-1.926214,0.5750009,-0.6175969,0.001294519,77.81313,-0.0003918647
-1.92621,0.5750011,-0.6175917,0.002057883,77.54933,-0.0005761753
-1.926201,0.5749996,-0.6175495,-0.0004461095,76.2529,0.00003462172
-1.926196,0.575,-0.6174954,-0.00000986246,74.89845,-0.00004741188
-1.926178,0.5749992,-0.6175509,-0.000496113,76.18441,0.00007405358
-1.926221,0.5749997,-0.6174549,-0.0001850822,74.03241,0.00009381632
-1.926202,0.5749997,-0.6175641,-0.000187479,76.5457,0.00009582097
-1.926198,0.5749997,-0.6175678,-0.0001884227,76.64059,0.0001002877
-1.926221,0.5749997,-0.6174642,-0.000180689,74.16379,0.0001002162
-1.926231,0.5750003,-0.6174946,0.0003582546,74.67227,-0.0001100747
-1.926238,0.5750037,-0.6176181,0.00122804,77.32404,0.00007813285
-1.926293,0.5749997,-0.6175448,-0.000180233,75.42995,0.00009934652
-1.926313,0.5749966,-0.6175914,-0.001698021,76.31099,-0.00003598204
-1.926304,0.5750003,-0.6175281,0.0002354955,74.55495,-0.00004613727
-1.926253,0.5749998,-0.617633,-0.0001702644,76.70045,0.00009738242
-1.926295,0.5749997,-0.6175134,-0.0001900036,73.95488,0.0001002074
-1.926312,0.5750003,-0.6175478,0.000350274,74.90946,-0.0001072181
-1.926347,0.5749997,-0.6175453,-0.000179523,74.93849,0.0000996626
-1.926385,0.5750003,-0.6175433,0.0003108159,74.71712,-0.00008871682
-1.926399,0.5750005,-0.6176639,0.0003547068,77.3384,-0.0000833525
-1.926444,0.5749998,-0.6176233,-0.0001815122,76.2257,0.0000978982
