"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z","robot_sim.direction.x","robot_sim.direction.y","robot_sim.direction.z"
-2.567814,0.575,1.315235,0.0005133231,205.4772,-0.00003002294
-2.569688,0.575036,1.301391,359.9874,193.8009,0.00636398
-2.569502,0.5750272,1.263528,359.9907,194.0447,0.005847887
-2.576209,0.5750305,1.207734,359.9858,194.1879,0.01580612
-2.599429,0.5750315,1.118964,359.9852,194.2265,0.01776972
-2.631207,0.5750315,1.004021,359.9852,194.2625,0.01779552
-2.674565,0.5750315,0.8475838,359.9852,194.2966,0.01779767
-2.729712,0.5750359,0.6471726,359.9864,189.2624,0.01164251
-2.772741,0.575036,0.4520492,359.9863,185.0492,0.01179864
-2.796598,0.5750331,0.2618216,359.9843,179.052,0.02103618
-2.796878,0.5750381,0.09245315,359.9837,159.7004,0.01553383
-2.766547,0.5750052,-0.0494395,0.00105978,150.5972,0.001107752
-2.753576,0.5750028,-0.09379523,0.0006719842,131.9016,0.0003848405
-2.75264,0.5750098,-0.09377602,0.002606437,131.117,0.0004390161
-2.752712,0.5750026,-0.09401977,0.0006519103,133.173,0.0003069903
-2.752619,0.5750108,-0.09397418,0.002008688,131.1909,0.001870196
-2.752663,0.5750013,-0.09403735,0.0005121945,134.0968,0.000008458034
-2.75271,0.5749881,-0.09408831,-0.002202346,135.8986,-0.001758145
-2.752604,0.5749998,-0.09397643,-0.0001368175,132.5463,0.00006759601
-2.75255,0.5749845,-0.09418208,-0.002595324,130.1265,-0.00224508
-2.752521,0.5749958,-0.09415586,-0.0007776736,129.9387,-0.0005329864
-2.752576,0.5749974,-0.09458669,-0.000108678,131.0364,0.0007280961
-2.752478,0.5749986,-0.09460057,0.00008971376,129.7013,-0.0003460605
-2.752426,0.5750005,-0.09472485,-0.0002280936,129.9285,-0.0005478692
-2.752455,0.5749996,-0.09470594,0.0002297945,130.3264,-0.0002231932
-2.75247,0.5749984,-0.0948257,0.0001649091,130.2766,-0.000405757
-2.752444,0.5749996,-0.0949344,-0.0003658486,128.7144,-0.000007751081
-2.752509,0.5749998,-0.09516208,-0.0001270721,130.8884,0.00006407298
-2.752539,0.574985,-0.09554155,-0.002548256,130.968,-0.00214278
-2.752561,0.5750071,-0.09562074,0.001592975,132.7504,0.0008471085
-2.752638,0.5749871,-0.09570399,-0.00235394,135.6259,-0.001898597
-2.752607,0.5749984,-0.09584259,-0.0003715651,134.1003,-0.0001516402
-2.75269,0.5749995,-0.09597955,-0.0001962431,136.1523,0.00003820197
-2.75268,0.5749995,-0.096184,359.9886,135.3577,0.01267362
-2.752684,0.5749991,-0.0965206,359.9905,134.8303,0.01054258
-2.752535,0.5749998,-0.09649996,-0.0001235723,130.4427,0.00005989304
-2.752555,0.574998,-0.0965402,0.0002850329,130.7648,-0.0004973945
-2.752659,0.5750008,-0.09669872,0.0003665241,134.6846,-0.00001763781
-2.752656,0.5749966,-0.09672111,-0.0006772322,134.691,-0.0004256319
-2.752711,0.5749958,-0.09694552,-0.0007979324,135.7327,-0.0005276412
-2.752797,0.5749994,-0.09718425,-0.00011047,137.5594,0.0009545889
-2.752754,0.5750063,-0.09728055,0.002424121,135.8982,-0.0002813185
-2.752781,0.5750109,-0.09759211,0.002117939,135.7902,0.001722682
-2.75284,0.57501,-0.09763375,0.001986468,136.698,0.001551081
-2.752856,0.5750004,-0.09755115,0.000306536,136.2704,-0.00009379963
-2.752844,0.5750005,-0.09759825,0.0003139611,135.4198,-0.00006653307
-2.752748,0.5750077,-0.09757426,0.001442537,132.154,0.001264867
-2.752836,0.575002,-0.09778816,0.0002364323,134.5681,-0.0008712222
-2.752763,0.5749996,-0.097767,-0.0001675364,132.1886,0.0000236568
-2.752456,0.575,-0.0976965,-0.0001138212,118.8116,0.00009141227
-2.752253,0.5749997,-0.0975773,-0.0001971928,77.88748,0.0001012102
-2.752912,0.5749997,-0.09087235,-0.000178434,3.937032,0.00009621694
-2.750538,0.5750069,-0.02672696,0.001749191,346.4444,0.001096124
-2.752132,0.5750321,-0.006789892,359.9861,350.2951,0.02374223
-2.752241,0.5750297,-0.0001149154,359.9883,350.3473,0.02215229
-2.752239,0.5750313,0.01287722,359.9862,350.3528,0.02374864
-2.754517,0.5750323,0.05859635,359.9847,350.3549,0.01947516
-2.766216,0.5750315,0.1433342,359.9851,350.3852,0.01794828
-2.781812,0.5750315,0.2527312,359.9851,350.419,0.01792194
-2.796861,0.5750311,0.3700573,359.9854,353.1779,0.01704992
-2.808847,0.5750297,0.5061512,359.9861,359.7478,0.01503659
-2.81197,0.575031,0.6765619,359.9855,359.794,0.01685196
-2.807665,0.5750294,0.8062057,359.9865,8.904,0.01392896
-2.790196,0.5750326,0.929916,359.991,15.17288,0.007255803
-2.756272,0.5750301,1.049064,359.9861,21.61677,0.01507832
-2.726589,0.5749962,1.131217,359.9837,43.77968,0.01847122
