"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z"
-0.01139617,0.6117697,0.09217715
-0.01139617,0.6117697,0.09217715
-0.01115465,0.6090989,0.08784795
-0.02158701,0.6098255,-0.02072448
-0.0508908,0.6071234,-0.05612081
-0.03313398,0.605915,-0.06640166
-0.04481184,0.6043034,-0.06477875
-0.02329147,0.6062441,-0.06895071
-0.005942345,0.6059573,-0.0858891
0.005675554,0.6057963,-0.1044909
0.001628518,0.6043788,-0.1130126
-0.01594388,0.6061949,-0.0975529
-0.02639985,0.6041682,-0.08641469
-0.01243186,0.6055505,-0.09764469
-0.01203477,0.6058885,-0.100508
-0.01203477,0.6058885,-0.100508
-0.02062404,0.6009308,-0.1173784
-0.08553946,0.6029902,-0.2089809
-0.1291535,0.5991323,-0.2196729
-0.1588615,0.5992769,-0.2249833
-0.1819836,0.5976371,-0.2239295
-0.2071385,0.5982306,-0.2224317
-0.2308246,0.5971439,-0.2267559
-0.2530128,0.5965039,-0.2398826
-0.2708422,0.5960225,-0.2588339
-0.3385392,0.5942675,-0.2949101
-0.4589342,0.5907344,-0.3467111
-0.5894371,0.5854863,-0.406926
-0.5894371,0.5854863,-0.406926
-0.6588497,0.5944045,-0.4492487
-0.6128551,0.5849789,-0.3917263
-0.5906588,0.5874201,-0.3712967
-0.5602596,0.5866567,-0.3561843
-0.5291631,0.5887544,-0.35333
-0.4966328,0.589008,-0.3599834
-0.4687402,0.5887706,-0.3736764
-0.4676667,0.5893886,-0.3739765
-0.4673592,0.5881917,-0.3738753
-0.4784943,0.589103,-0.3517646
-0.5214813,0.593124,-0.2269755
-0.5820171,0.5962424,-0.08072186
-0.6454292,0.5965443,0.06941628
-0.7118492,0.6007771,0.2082145
-0.7739175,0.6035571,0.3345504
-0.8468915,0.6069677,0.4698304
-0.8468915,0.6069677,0.4698304
-0.9080549,0.607613,0.595381
-0.8790807,0.6089221,0.6263061
-0.8660577,0.609743,0.6232665
-0.8660577,0.609743,0.6232665
-0.8594592,0.6038886,0.6491631
-0.8743924,0.6101954,0.6714016
-0.8743924,0.6101954,0.6714016
-0.8820885,0.6099809,0.6755474
-0.8713617,0.6108838,0.6811655
-0.8551955,0.611536,0.6704118
-0.8421085,0.612075,0.649129
-0.8489279,0.612676,0.6484017
-0.8438039,0.6112238,0.6424288
-0.8407773,0.6116965,0.6169245
-0.8498228,0.6106521,0.598663
-0.805738,0.6084777,0.5974398
-0.6591034,0.6140707,0.604344
-0.5110469,0.6176068,0.6126014
-0.3722881,0.6206949,0.6249807
-0.2161742,0.6233042,0.640188
-0.05468738,0.6273862,0.6609836
0.09966767,0.6310495,0.6816902
0.2363632,0.6350323,0.7064339
0.3883314,0.6390442,0.7351538
0.5389106,0.6464156,0.7666411
0.6821311,0.6502552,0.8002615
0.8323303,0.6560638,0.8399231
0.8323303,0.6560638,0.8399231
0.9408005,0.6543304,0.8676703
0.8848282,0.6584486,0.8402659
0.8555194,0.6555123,0.8016214
0.8288795,0.6561697,0.7874713
0.8007752,0.6529163,0.7770576
0.7780684,0.6547143,0.7818705
0.7607945,0.6537086,0.7911743
0.7487907,0.6594981,0.7946225
0.7711843,0.6510549,0.6847456
0.8015145,0.6476203,0.5296123
0.8347369,0.6457283,0.3774899
0.8721958,0.6426119,0.2243214
0.9088877,0.6374525,0.07967067
0.945536,0.6346078,-0.05425173
0.9964098,0.6327543,-0.2205585
0.9964098,0.6327543,-0.2205585
1.035148,0.6268046,-0.3463435
1.004162,0.6275272,-0.3839481
0.9794065,0.6272535,-0.3768571
0.9699129,0.628512,-0.3573545
0.9733096,0.628065,-0.3458715
0.9189793,0.6241808,-0.3603645
0.7891747,0.618791,-0.394742
0.6407207,0.610207,-0.4377713
0.4986414,0.606765,-0.4815459
0.3593805,0.5995796,-0.5306078
0.211113,0.5936897,-0.5826537
0.07151616,0.5891498,-0.6332
-0.06662047,0.5862074,-0.6865838
-0.2188219,0.5803821,-0.7499093
-0.3631017,0.5757661,-0.8102022
-0.3631017,0.5757661,-0.8102022
-0.4660218,0.5743251,-0.8308219
-0.4788772,0.5741218,-0.8001252
-0.5237511,0.5767924,-0.7534503
-0.5237511,0.5767924,-0.7534503
-0.5989342,0.5739322,-0.7317435
-0.6279118,0.5747986,-0.7537265
-0.63468,0.5734096,-0.7624049
-0.697685,0.5725807,-0.7899164
-0.8302843,0.5646963,-0.847421
-0.932807,0.5615485,-0.871905
-0.946892,0.5663723,-0.8363744
-0.9262972,0.5649425,-0.8220624
-0.8984382,0.5665011,-0.8244696
-0.8746668,0.5647734,-0.8391165
-0.8611616,0.5666854,-0.8565651
