"robot_sim.position.x","robot_sim.position.y","robot_sim.position.z","robot_sim.direction.x","robot_sim.direction.y","robot_sim.direction.z"
-2.862512,0.5750375,-0.06282239,0.003301996,105.7484,-0.00103615
-2.852797,0.5750453,-0.06261197,0.0001157826,106.0362,-0.002473389
-2.83573,0.5750262,-0.06232608,0.01329737,106.3515,0.001068686
-2.83146,0.5750452,-0.06210774,0.0006724982,106.6993,-0.002662081
-2.827386,0.5750454,-0.06191446,0.0002726444,107.0124,-0.002591028
-2.821904,0.5750456,-0.06170729,0.0002118337,107.3305,-0.002631922
-2.817823,0.5750451,-0.06157961,0.000871709,107.5837,-0.002780485
-2.812955,0.5750453,-0.0613455,0.000585564,107.9498,-0.002743526
-2.808693,0.5750453,-0.06117084,0.0005267856,108.2403,-0.002748687
-2.798294,0.5750455,-0.06084749,0.0003929228,108.6686,-0.002781518
-2.782396,0.5750453,-0.0605027,0.0005495384,109.0794,-0.002848115
-2.777858,0.5750454,-0.06032523,0.0005498528,109.3764,-0.002851945
-2.763031,0.5750351,-0.05996079,0.004429806,109.8178,-0.0008461632
-2.759069,0.5750383,-0.05978383,0.01383372,110.1768,-0.001015636
-2.754806,0.5750452,-0.05954269,0.0009261427,110.5762,-0.00307578
-2.745194,0.5750452,-0.05925271,0.0006744027,111.0033,-0.003044231
-2.734273,0.5750207,-0.0589045,0.01138108,111.4794,0.001183214
-2.729962,0.575045,-0.05867428,0.001531887,111.905,-0.00343901
-2.717905,0.5750443,-0.05838496,0.0008383082,112.3396,-0.003190598
-2.698824,0.5750452,-0.0579994,0.0007879783,112.8954,-0.003212714
-2.669688,0.5750449,-0.05762472,0.0008125752,113.4447,-0.003288917
-2.628015,0.575045,-0.05723304,0.0008238772,114.037,-0.003333527
-2.585536,0.5750449,-0.05685476,0.0008361434,114.6382,-0.003386297
-2.535548,0.575029,-0.06149847,359.9684,119.3509,0.02853285
-2.497355,0.5750557,-0.06316639,0.006709554,126.5277,-0.0005414349
-2.466077,0.5750749,-0.06569345,0.003770397,132.9643,0.006985164
-2.452731,0.5750424,-0.0674315,0.01847186,135.9081,0.01533452
-2.452448,0.5750108,-0.06755403,0.005021269,135.9394,0.003649161
-2.452079,0.5750265,-0.0676935,0.01205723,135.9755,0.01212664
-2.451737,0.5750058,-0.06783217,0.003215146,136.0119,0.002875969
-2.451354,0.5750058,-0.06798104,0.003223381,136.0509,0.002879934
